"prompt","response"
"在狼人杀游戏中，狼人是否可以选择跳猎人？在什么情况下狼人可以选择跳猎人？","能。
玩家的印象当中女巫和猎人这种具有强大的反杀能力的角色不适合狼人去悍跳，主要是容易被他们针对而选择对悍跳的狼人发动技能。但其实狼人穿衣服主要考虑的收益，如果收益够的情况下是可以选择起跳的。
猎人面对穿衣服的狼人大多会选择直接对跳拍打，让本轮游戏进入到猎人轮次，好人玩家只需要选择其中一名“猎人”进行放逐，如果出现真猎人被放逐，则他可以选择发动技能带走哪位穿自己衣服的狼人。
但如果在刀神局，而且狼刀领先优势比较大，为了能更快找出猎人则狼人可以选择起跳猎人。通常这个情况下猎人是不敢对跳的，则狼人可以坐实猎人的身份去干扰好人的视角，进而带节奏抗推好人。如果猎人起跳了，则可以选择夜间刀掉他，狼人离屠神获胜又进了一步。"
"狼人杀游戏中的狼踩狼策略是什么？它的作用是什么？","狼踩狼在狼人杀游戏中指的是狼人针对自己的狼队友，这是一种战术策略，用于做低其中一名狼人的身份，进而抬高另外一名狼人的身份；另外一个作用就是可以扰乱好人的视线。
1、场上有明狼，踩明狼有助于与其摆脱嫌疑做高身份。
当场上有自己的狼队友是明狼，铁定会出局，那么此刻其它狼人可以采取与好人玩家一样的策略，那就是去攻击这个明狼。在明狼出局后，自然攻击过他的玩家不会被怀疑。
2、开局就开启狼踩狼。
这种策略通常是为了扰乱好人的视线，通常好人认为狼人会在开局互相抱团利用团队的力量抗推好人，而狼踩狼反其道而行之，导致好人无法更好地去排狼坑。
3、自己聊爆，做高被自己踩的狼队友玩家。
当狼人自己出现聊爆的情况，可以采取针对狼队友进行踩，这样一旦自己出局，那么被自己踩的狼队友身份会被抬高。"
"狼人杀8人局通常如何配置？各角色的获胜条件是什么？","狼人杀8人局的配置主要由1个预言家、1个女巫、3个平民以及3个狼人组成。其中预言家、女巫和平民组成好人阵营，获胜条件是淘汰所有的狼人；3个狼人组成狼人阵营，获胜条件为屠城，即要把好人玩家全部淘汰才能获胜。
在这个初级的板子里面并不需要玩家有太多的花样，只需要记牢所有角色的技能规则然后根据场上的情况来决定打法即可。比如预言家可以在查杀到狼人就起跳，也可以先隐藏下身份，多一轮查验再起跳；而女巫的解药可以选择在首轮使用也可以留着给后续起跳的预言家使用，毒药则可以选择一名自己认为的狼人进行毒杀；平民自然需要在白天积极发言和投票；狼人打法可以悍跳、自刀、深水、倒钩等等。"
"狼人在狼人杀游戏中能否自我攻击？如果可以，这种情况通常在什么情况下发生？","可以。
在狼人杀游戏中，狼杀狼其实就是自刀。之所以会存在狼人自刀的现象，主要是从狼队阵营收益角度来考虑的，最常见的自刀发生在首轮夜里，主要的目的是为了骗取女巫的解药，进而成为银水身份做高自己的地位，从而在后可以悍跳或者倒钩或者深水。
狼人除了自刀的操作外还可以选择空刀，比如狼人要穿女巫的衣服，则可以在对跳女巫后当晚选择空刀，造成是被狼人刀死，实际是女巫毒死的，进而污真女巫身份。因此，目前女巫面对对跳最合理的就是不起跳选择自己撒毒后再说明情况。"
"狼人杀游戏中，女巫角色拥有哪两种药品？她们分别有什么作用？如何正确使用这两种药品？","两瓶。
女巫在狼人杀游戏当中属于好人阵营的神职角色，她拥有一瓶解药和一瓶毒药，解药救人，毒药杀人，两种药都需要在夜间使用并且无法在同一个夜晚使用。
1、解药
女巫的解药在标准局里面从收益角度来考虑应该在首个夜间使用，原因是首轮使用解药和守卫首轮空守形成互补，避免出现技能冲突导致被救的玩家死亡；其次救了自刀狼不会影响轮次，而不救被首刀的神职则会让好人陷入被动。
2、毒药
毒药使用需要看情况，否则可能会出现误伤。在女巫无法自救的规则下被首刀应该使用毒药来自证身份，避免后续被狼人穿衣服；出现有狼人对跳女巫，则可以选择夜间直接毒死他；在预言家出局后，女巫有必要携毒起跳，并利用毒药来胁迫所有玩家跟随自己去放逐合适的人选。
女巫的水平高低取决于两瓶药的使用是否得当，总的一句话，解药和毒药的使用都需要结合当时的对局环境，从收益角度来考虑。"
"狼人杀游戏中，女巫在一局游戏中能使用几瓶药？在同一个晚上能使用几瓶药？","女巫在同一个晚上只能用一瓶药，但在一整局游戏过程中可以使用两瓶药。
狼人杀游戏中，女巫拥有解药和毒药，解药是可以解救任意一名被狼人刀的玩家，而毒药则可以毒杀任意一名玩家，值得注意的是，两瓶药都必须在夜间使用，但不能同一个晚上使用。因此，女巫虽然可以在一局游戏当中使用两瓶药，但在单一的夜晚只能使用一瓶解药。
女巫的解药在标准局当中通常会在首轮使用，原因是狼人自刀被救不影响好人轮次，而要是强神被首刀则好人会处于劣势；另外，如果有守卫的对局，则女巫必须首轮使用解药，而守卫首轮空守，是为了避免出现技能冲突。
女巫的毒药则通常在女巫确认了目标后使用；但在有狼人穿女巫衣服，女巫则可以夜间直接使用技能毒死该狼人；另外，女巫如果被首刀并无法自救也需要使用女巫来证明自己的身份。"
"狼美人在狼人杀游戏中有什么特殊技能？他们可以自爆吗？如何才能顺利出局？","不能。
狼美人在狼人杀游戏中的技能是魅惑殉情，狼美人除了拥有普通狼人的技能外，可以在任意夜间魅惑任意玩家，待自己白天出局可以将被魅惑的玩家带走，但狼美人无法在连续两个晚上魅惑同一名玩家，并且狼美人无法通过自刀和自爆寻找出局的机会。因此狼美人是无法自爆的。
这就要求狼美人在寻找出局的层面想办法，通常知晓有狼美人的对局，白天好人玩家如果发现过于聊爆的卡牌会认定其为狼美人，选择不放逐；或者会让老酒鬼假扮神职去误导狼美人对其进行魅惑，然后第二天将其放逐。因此狼美人在游戏当中，发言应该要有一定的策略，不能单纯为了出局而选择过于暴露自己的身份，而应该给好人玩家一种不像暴露身份但不小心暴露，这样才能顺利地出局达到自己放逐夜间魅惑玩家的目的。"
"狼人杀游戏中的狼美人角色有什么特殊能力和玩法策略？","狼美人在狼人杀游戏中的能力有两点：1、普通狼人的能力；2、独特的魅惑带人能力。
1、普通狼人的能力
狼美人属于狼人阵营的特殊功能狼，它跟普通狼人一样在夜间需要睁眼刀人，但狼美人无法自刀和自爆。
2、独特的魅惑带人能力
除了普通狼人的刀人能力外，狼美人还具备在任何夜间对任意一名玩家进行魅惑，在白天自身出局的时候可以带走该被魅惑的玩家，但狼美人无法连续两晚对同一名玩家进行魅惑。另外，狼美人如果魅惑到老酒鬼则无法在自己出局的时候带走他。
因此，狼美人玩法应该遵循以下几点：
1、狼美人作为狼队的特殊角色，应该承担起领袖的责任，在夜间指刀并时刻与自己的队友保持交流；
2、在魅惑玩家的时候需要一定的抿神能力，以魅惑神职为主，尤其是女巫和守卫这种强大的神职；
3、另外，面对有老酒鬼存在的板子，则应该避免魅惑他，避免出现自己出局无法带人导致狼队劣势；
4、因为无法自刀自爆，则狼美人在白天需要一定的技巧才能保证自己出局顺利带人，在这里不能太过于明显也不能太过于隐藏身份，对拿到狼美人的玩家发言技巧具备一定的挑战性。"
"狼美人在狼人杀游戏中有哪些技能和限制？狼美人如何有效利用自己的技能？","不能。
在狼人杀游戏当中，狼美人的技能是“魅惑殉情”，狼美人除了有狼人的基本技能夜袭外，还有每个晚上魅惑一名玩家，如果狼美人在第二天出局，则可以带走被魅惑的玩家，但狼美人无法通过自刀或者自爆来实现带人的目的，也不能连续两个晚上魅惑同一名玩家。从技能描述上我们可以看出狼美人是不能自刀的，甚至狼美人也是不能自爆的。因此，狼美人的玩法需要在白天寻找出局的机会实现技能的正常释放。
1、狼美人在未找到合适的神职角色，应该隐藏好身份。
狼美人应该以带走神职为目标，在未发现目标之前应该谨慎隐藏好自己的身份，避免被好人抿出身份而放逐。
2、找准目标后魅惑，要在白天找机会出局。
当狼美人找到合适的魅惑对象后，由于自己无法自刀、自爆，故必须在白天通过发言来找到出局的机会。其中发言过于保守，则会被当为好人，而过于聊爆，则会被好人发现你就是狼美人想要出局，因此狼美人发言要无意识地聊爆，让好人玩家觉得你本来不像暴露身份而不小心暴露的。"
"女巫在狼人杀游戏中的解药只能在第一天使用吗？","不是，女巫的解药可以在任意一个晚上使用。
女巫在狼人杀游戏中是一个神职角色，她有解药和毒药，解药和毒药都可以在任意一个晚上使用，并不存在只有第一天才能使用的限制。之所以会出现“女巫解药只能第一天用”的言论，主要是在标准局里以收益的角度考虑。
女巫在标准局里首个夜间使用解药的好处有：
1、避免神职角色被首刀出局
无论狼人自刀还是刀好人，对于女巫使用解药而言并不会导致好人轮次落后，而女巫要是首轮不使用解药，则在狼人刀了重要神职比如预言家、守卫，那么对于好人而言是十分不利的。
2、方便后续起跳
女巫在首轮使用了解药，后续在预言家出局就可以随时起跳，神职第二个白天起跳带队也成为可能。不会因为双药在手被狼人针对，不好带队。
因此，在狼人杀游戏中，任何角色的技能使用只受规则的限制，而出现一些特殊的情况，比如女巫首轮使用解药完全是处于收益角度考虑的。"
